Team,League,Roster ID,Default Image,Division Name
Kennesaw State,NCAA OHIO VALLEY,3,https://1000logos.net/wp-content/uploads/2021/11/Kennesaw-State-Owls-Logo.png,Southern
Kentucky,NCAA SEC,8,https://1000logos.net/wp-content/uploads/2021/06/Kentucky-Wildcats-logo.png,East
Lehigh,NCAA IVY,6,https://1000logos.net/wp-content/uploads/2021/06/Lehigh-Mountain-Hawks-logo.png,Smart
Louisiana,NCAA USA,11,https://1000logos.net/wp-content/uploads/2021/06/Louisiana-Ragin-Cajuns-logo.png,Gulf
Louisiana Monroe,NCAA USA,12,https://1000logos.net/wp-content/uploads/2022/02/Louisiana-Monroe-Warhawks-logo.png,Gulf
Louisiana Tech,NCAA SUN BELT,11,https://1000logos.net/wp-content/uploads/2021/06/Louisiana-Tech-Bulldogs-logo.png,Bible
Louisville,NCAA ACC,11,https://1000logos.net/wp-content/uploads/2024/02/Louisville-Cardinals-Logo.png,Atlantic
LSU,NCAA SEC,2,https://1000logos.net/wp-content/uploads/2021/06/LSU-logo.png,West
Maine,NCAA BIG SKY,11,https://1000logos.net/wp-content/uploads/2021/06/Maine-Black-Bears-logo.png,Frontier
Marshall,NCAA SUN BELT,5,https://1000logos.net/wp-content/uploads/2021/06/Marshall-Thundering-Herd-logo.png,Bible
Maryland,NCAA BIG EAST & CO.,2,https://1000logos.net/wp-content/uploads/2021/06/Maryland-Terrapins-logo.png,#N/A
Memphis,NCAA SUN BELT,8,https://1000logos.net/wp-content/uploads/2022/02/Memphis-Tigers-logo.png,Rebel
Miami,NCAA ACC,9,https://1000logos.net/wp-content/uploads/2018/09/Miami-Hurricanes-Logo.png,Coastal
Michigan,NCAA BIG 10,12,https://1000logos.net/wp-content/uploads/2021/07/Michigan-Wolverines-logo.png,East
Michigan State,NCAA BIG 10,4,https://1000logos.net/wp-content/uploads/2021/07/Michigan-State-Spartans-logo.png,East
