Year,LeagueID,LeagueName,RosterID,OwnerID,OwnerName,Division,DivisionName,Wins,Losses,PointsFor,PointsAgainst
2026,1331774741488369664,NCAA IVY,6,1017588201080369152,Iloveyyounghoes,2,SMART,1,1,264.16,250.8
2026,1331774741488369664,NCAA IVY,7,1135784589957652480,Hambnr,1,RICH,1,1,245.68,241.52
2026,1331774741488369664,NCAA IVY,8,461688192555282432,PhilupMynuts,2,SMART,1,1,246.16,212.68
2026,1331774741488369664,NCAA IVY,9,1402806331622043648,BrynJ9618,1,RICH,1,1,288.22,256.66
2026,1331774741488369664,NCAA IVY,10,1142198466060402688,BLACK93BOIZS,2,SMART,1,1,245.34,243.46
2026,1331774741488369664,NCAA IVY,11,460895027179024384,jtheadrick98,1,RICH,2,0,316.28,288.88
2026,1331774741488369664,NCAA IVY,12,464595147808567296,cobrapanther99,2,SMART,1,1,252.64,240.3
2026,1331774695346823168,NCAA USA,1,389658700735868928,dh671,2,TWISTER,0,2,220.02,314.14
2026,1331774695346823168,NCAA USA,2,,Unknown,1,GULF,0,2,243.92,308.2
2026,1331774695346823168,NCAA USA,3,599286882408394752,Botro,2,TWISTER,0,2,299.54,342.24
2026,1331774695346823168,NCAA USA,4,692542511834558464,GRIDIRONGANG81,1,GULF,2,0,304.58,209.28
2026,1331774695346823168,NCAA USA,5,866509840124641280,JustTouchdown1221,2,TWISTER,2,0,300.38,216.98
2026,1331774695346823168,NCAA USA,6,560611777479667712,PatrickT21,2,TWISTER,0,2,238.78,270.36
2026,1331774695346823168,NCAA USA,7,81535409754357760,arandrea,2,TWISTER,2,0,349.92,314.48
2026,1331774695346823168,NCAA USA,8,605439246030925824,krichknowsbest,2,TWISTER,2,0,276.44,226.88
2026,1331774695346823168,NCAA USA,9,787224085817044992,masshole4eva,1,GULF,1,1,205.2,227.48
2026,1331774695346823168,NCAA USA,10,590358219562455040,Woolley69,1,GULF,2,0,240.06,200.78
2026,1331774695346823168,NCAA USA,11,460257215329071104,bshouseman,1,GULF,0,2,191.58,236.28
2026,1331774695346823168,NCAA USA,12,650627977721245696,BroncoZzz,1,GULF,1,1,227.32,230.64
2026,1331774630620332032,NCAA HISTORICALLY BLACK,1,471427194132885504,PhantomXX,2,Hurricane,2,0,303.28,229.62
2026,1331774630620332032,NCAA HISTORICALLY BLACK,2,1240179381624655872,B41Pakman,1,Mississippi River,1,1,190.92,229.92
2026,1331774630620332032,NCAA HISTORICALLY BLACK,3,640052303377952768,lcummings,2,Hurricane,2,0,305.28,250.96
2026,1331774630620332032,NCAA HISTORICALLY BLACK,4,471080793406435328,memphismaniac,1,Mississippi River,1,1,292.36,281.54
