LeagueID,LeagueName,DraftID,Round,Pick_No,OverallPick,Picked_By,RosterID,PlayerID,FirstName,LastName,Team,Position,Status,YearsExp
644097339790827520,NCAA OHIO VALLEY,644097340822597632,5,51,99,69768813763510272,8,6828,A.J.,Dillon,GB,RB,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,5,52,100,468944645166985216,3,5844,T.J.,Hockenson,DET,TE,Active,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,5,53,101,331558449374593024,6,4040,JuJu,Smith-Schuster,PIT,WR,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,5,54,102,327689364916146176,12,4881,Lamar,Jackson,BAL,QB,Active,2
644097339790827520,NCAA OHIO VALLEY,644097340822597632,5,55,103,635700695584043008,7,5052,Ronald,Jones,TB,RB,Active,2
644097339790827520,NCAA OHIO VALLEY,644097340822597632,5,56,104,571753677428977664,1,3294,Dak,Prescott,DAL,QB,Injured Reserve,4
644097339790827520,NCAA OHIO VALLEY,644097340822597632,5,57,105,601198801197260800,2,4017,Deshaun,Watson,HOU,QB,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,5,58,106,347683464398749696,9,6845,Zack,Moss,BUF,RB,Inactive,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,5,59,107,331558449374593024,6,5937,Diontae,Johnson,PIT,WR,Active,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,5,60,108,638193564806897664,11,6770,Joe,Burrow,CIN,QB,Injured Reserve,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,6,61,121,638193564806897664,11,4951,D.J.,Chark,JAX,WR,Active,2
644097339790827520,NCAA OHIO VALLEY,644097340822597632,6,62,122,594242128851296256,10,5980,Myles,Gaskin,MIA,RB,Active,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,6,63,123,594242128851296256,10,6819,Michael,Pittman,IND,WR,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,6,64,124,331558449374593024,6,1234,Russell,Wilson,SEA,QB,Active,8
644097339790827520,NCAA OHIO VALLEY,644097340822597632,6,65,125,571753677428977664,1,1352,Robert,Woods,LAR,WR,Active,7
644097339790827520,NCAA OHIO VALLEY,644097340822597632,6,66,126,635700695584043008,7,96,Aaron,Rodgers,GB,QB,Active,15
644097339790827520,NCAA OHIO VALLEY,644097340822597632,6,67,127,601198801197260800,2,4131,Kenny,Golladay,DET,WR,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,6,68,128,474662041341128704,5,5012,Mark,Andrews,BAL,TE,Active,2
644097339790827520,NCAA OHIO VALLEY,644097340822597632,6,69,129,468944645166985216,3,3225,Tyler,Boyd,CIN,WR,Active,4
644097339790827520,NCAA OHIO VALLEY,644097340822597632,6,70,130,69768813763510272,8,6789,Henry,Ruggs,LV,WR,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,6,71,131,472879969664495616,4,6814,Laviska,Shenault,JAX,WR,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,6,72,132,331558449374593024,6,6904,Jalen,Hurts,PHI,QB,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,7,73,145,638193564806897664,11,2320,Melvin,Gordon,DEN,RB,Active,5
644097339790827520,NCAA OHIO VALLEY,644097340822597632,7,74,146,601198801197260800,2,5045,Courtland,Sutton,DEN,WR,Injured Reserve,2
644097339790827520,NCAA OHIO VALLEY,644097340822597632,7,75,147,69768813763510272,8,3242,Kenyan,Drake,ARI,RB,Active,4
644097339790827520,NCAA OHIO VALLEY,644097340822597632,7,76,148,468944645166985216,3,1689,Adam,Thielen,MIN,WR,Active,7
644097339790827520,NCAA OHIO VALLEY,644097340822597632,7,77,149,474662041341128704,5,6895,Quintez,Cephus,DET,WR,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,7,78,150,327689364916146176,12,947,Julio,Jones,ATL,WR,Active,9
644097339790827520,NCAA OHIO VALLEY,644097340822597632,7,79,151,635700695584043008,7,2078,Odell,Beckham,CLE,WR,Injured Reserve,6
644097339790827520,NCAA OHIO VALLEY,644097340822597632,7,80,152,571753677428977664,1,2374,Tyler,Lockett,SEA,WR,Active,5
644097339790827520,NCAA OHIO VALLEY,644097340822597632,7,81,153,331558449374593024,6,3157,Will,Fuller,HOU,WR,Active,4
644097339790827520,NCAA OHIO VALLEY,644097340822597632,7,82,154,594242128851296256,10,5848,Marquise,Brown,BAL,WR,Active,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,7,83,155,472879969664495616,4,6768,Tua,Tagovailoa,MIA,QB,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,7,84,156,638193564806897664,11,7090,Darnell,Mooney,CHI,WR,Inactive,0
