Year,LeagueID,LeagueName,RosterID,OwnerID,OwnerName,Division,DivisionName,Wins,Losses,PointsFor,PointsAgainst
2021,652822666251710464,NCAA IVY,8,461688192555282432,PhilupMynuts,2,SMART,2,9,1292.78,1516.46
2021,652822666251710464,NCAA IVY,9,460518714907815936,linkoftime1,1,RICH,10,1,1751.16,1317.52
2021,652822666251710464,NCAA IVY,10,,Unknown,2,SMART,1,10,960.62,1561.98
2021,652822666251710464,NCAA IVY,11,460895027179024384,jtheadrick98,1,RICH,6,5,1525.26,1472.3
2021,652822666251710464,NCAA IVY,12,464595147808567296,cobrapanther99,2,SMART,7,4,1464.12,1346.2
2021,652822592985579520,NCAA PIONEER,1,533363986486435840,MattJB87,2,FREEDOM,9,2,1685.3,1394.04
2021,652822592985579520,NCAA PIONEER,2,604755917715607552,plazzmarc,1,PATRIOT,1,10,1072.36,1494.94
2021,652822592985579520,NCAA PIONEER,3,459110344502013952,MyFingerPoints,1,PATRIOT,4,7,1424.5,1443.62
2021,652822592985579520,NCAA PIONEER,4,519460302416203776,AccusedRanger97,2,FREEDOM,2,9,1159.42,1525.6
2021,652822592985579520,NCAA PIONEER,5,561684253895716864,fwen,1,PATRIOT,5,6,1196.46,1327.58
2021,652822592985579520,NCAA PIONEER,6,455753261765357568,BDAVIS309,1,PATRIOT,5,6,1561.2,1575.48
2021,652822592985579520,NCAA PIONEER,7,475391637342646272,rgroban,2,FREEDOM,7,4,1434.76,1385.82
2021,652822592985579520,NCAA PIONEER,8,339931221767249920,CrownMeKing,2,FREEDOM,7,4,1642.76,1478.5
2021,652822592985579520,NCAA PIONEER,9,698206840328134656,ishaansethi,1,PATRIOT,5,6,1421.44,1372.22
2021,652822592985579520,NCAA PIONEER,10,460518714907815936,linkoftime1,2,FREEDOM,7,4,1418.04,1196.48
2021,652822592985579520,NCAA PIONEER,11,520108377286893568,HPTexans,1,PATRIOT,3,8,1220.36,1449.34
2021,652822592985579520,NCAA PIONEER,12,519675297838780416,willsingle05,2,FREEDOM,11,0,1745.04,1338.02
2021,652822508415823872,NCAA WILD,1,457579310098673664,LanceBoneau,1,PLAINS,10,1,1671.1,1227.0
2021,652822508415823872,NCAA WILD,2,635686851117670400,WillAllen,2,VALLEY,5,6,1434.3,1497.24
2021,652822508415823872,NCAA WILD,3,441392312380026880,4thdownTD,1,PLAINS,8,3,1757.58,1522.48
2021,652822508415823872,NCAA WILD,4,635935003657723904,matthewitz,2,VALLEY,7,4,1598.24,1369.54
2021,652822508415823872,NCAA WILD,5,642578171354484736,FareedB,1,PLAINS,3,8,1267.86,1506.42
2021,652822508415823872,NCAA WILD,6,203496917160697856,ThomasHarris,2,VALLEY,1,10,1052.88,1417.84
2021,652822508415823872,NCAA WILD,7,561674255216046080,SlatonDa3rd,1,PLAINS,3,8,1064.78,1400.56
2021,652822508415823872,NCAA WILD,8,462714981117325312,Buckeyefan5184,2,VALLEY,7,4,1678.54,1399.46
2021,652822508415823872,NCAA WILD,9,603083535368134656,MrBarryMcCockiner,1,PLAINS,4,7,1359.48,1507.04
2021,652822508415823872,NCAA WILD,10,505166677990699008,olddominion2020,2,VALLEY,6,5,1425.28,1398.18
2021,652822508415823872,NCAA WILD,11,434740393972592640,Squinto,1,PLAINS,5,6,1346.48,1464.4
2021,652822508415823872,NCAA WILD,12,460518714907815936,linkoftime1,2,VALLEY,7,4,1453.36,1399.72
2021,652822437578215424,NCAA SUN BELT,1,429733810611949568,Piglet10,2,REBEL,8,3,1315.46,1276.16
2021,652822437578215424,NCAA SUN BELT,2,458650904741015552,CRicks3,2,REBEL,10,1,1682.88,1437.2
2021,652822437578215424,NCAA SUN BELT,3,481957045667360768,Prestongee17,1,BIBLE,7,4,1821.38,1479.9
2021,652822437578215424,NCAA SUN BELT,4,447283305738399744,Lucchityler,2,REBEL,5,6,1468.68,1333.6
2021,652822437578215424,NCAA SUN BELT,5,546466738316963840,PackMan1212,1,BIBLE,5,6,1121.42,1447.4
2021,652822437578215424,NCAA SUN BELT,6,465019661495300096,Raidersforte,2,REBEL,2,9,1220.94,1460.2
2021,652822437578215424,NCAA SUN BELT,7,547214728132608000,ericdas12,1,BIBLE,3,8,1205.34,1496.52
2021,652822437578215424,NCAA SUN BELT,8,441362521463451648,yoboihawks,2,REBEL,6,5,1609.62,1336.62
2021,652822437578215424,NCAA SUN BELT,9,460518714907815936,linkoftime1,1,BIBLE,4,7,1157.06,1457.7
2021,652822437578215424,NCAA SUN BELT,10,441330448283463680,Fr3shBC11,1,BIBLE,9,2,1653.9,1356.28
2021,652822437578215424,NCAA SUN BELT,11,461681329860243456,ryanfried2,1,BIBLE,5,6,1407.68,1337.24
2021,652822437578215424,NCAA SUN BELT,12,465297932204109824,utsa,2,REBEL,2,9,1189.92,1435.46
2021,652822356867264512,NCAA SEC,1,441458152391569408,andcousinsissacked,1,EAST,4,7,1277.64,1408.26
2021,652822356867264512,NCAA SEC,2,437752171740524544,menacesober,2,WEST,5,6,1433.58,1427.7
2021,652822356867264512,NCAA SEC,3,457957045534978048,ChadLowe,1,EAST,4,7,1262.4,1418.64
2021,652822356867264512,NCAA SEC,4,446524535810813952,ahhchainsaw,2,WEST,7,4,1579.86,1492.46
2021,652822356867264512,NCAA SEC,5,562032371824951296,ryank45,2,WEST,7,4,1631.04,1438.48
2021,652822356867264512,NCAA SEC,6,510556455562792960,thatmansanti,2,WEST,5,6,1528.88,1386.04
2021,652822356867264512,NCAA SEC,7,461680102409760768,kodakjack,1,EAST,4,7,1194.0,1320.8
2021,652822356867264512,NCAA SEC,8,749707909142802432,BeefTrapeze,1,EAST,5,6,1266.38,1398.94
2021,652822356867264512,NCAA SEC,9,503639845369802752,gregorybly,1,EAST,9,2,1536.14,1331.52
2021,652822356867264512,NCAA SEC,10,641695634772025344,TimothyMartinFF,1,EAST,7,4,1499.56,1305.34
2021,652822356867264512,NCAA SEC,11,560284880620699648,devbovino,2,WEST,4,7,1198.84,1381.72
2021,652822356867264512,NCAA SEC,12,445468333035220992,JosephMarin07,2,WEST,5,6,1388.46,1486.88
2021,652822293206081536,NCAA MOUNTAIN WEST,1,626596982345129984,dukiev99,1,SAINT,6,5,1488.18,1321.72
2021,652822293206081536,NCAA MOUNTAIN WEST,2,463106510101147648,bucketmikal14,2,SIN,3,8,1188.62,1504.1
2021,652822293206081536,NCAA MOUNTAIN WEST,3,463057520089362432,ryanl17,1,SAINT,5,6,1378.38,1455.24
2021,652822293206081536,NCAA MOUNTAIN WEST,4,571767410708901888,Kyvend01,2,SIN,6,5,1424.66,1326.4
2021,652822293206081536,NCAA MOUNTAIN WEST,5,609605414685859840,KingWapo,1,SAINT,8,3,1577.34,1246.74
2021,652822293206081536,NCAA MOUNTAIN WEST,6,482448684026425344,Avery33,2,SIN,4,7,1200.56,1382.12
2021,652822293206081536,NCAA MOUNTAIN WEST,7,519460302416203776,AccusedRanger97,1,SAINT,3,8,1198.64,1409.02
2021,652822293206081536,NCAA MOUNTAIN WEST,8,325726913966395392,bkoldham,2,SIN,8,3,1419.08,1192.14
2021,652822293206081536,NCAA MOUNTAIN WEST,9,460518714907815936,linkoftime1,1,SAINT,5,6,1376.44,1450.26
2021,652822293206081536,NCAA MOUNTAIN WEST,10,461772326111801344,Chang,2,SIN,7,4,1533.64,1457.12
2021,652822293206081536,NCAA MOUNTAIN WEST,11,468116813004140544,ZMATH11,1,SAINT,7,4,1439.46,1351.7
2021,652822293206081536,NCAA MOUNTAIN WEST,12,322205296309051392,TBLowery58,2,SIN,4,7,1429.7,1558.14
2021,652822152327815168,NCAA HISTORICALLY BLACK,1,471427194132885504,PhantomXX,2,Hurricane,3,8,1214.32,1372.28
2021,652822152327815168,NCAA HISTORICALLY BLACK,2,303281379553058816,ImRickJames,1,Mississippi River,3,8,1281.9,1376.42
2021,652822152327815168,NCAA HISTORICALLY BLACK,3,640052303377952768,lcummings,2,Hurricane,4,7,1473.66,1465.86
2021,652822152327815168,NCAA HISTORICALLY BLACK,4,640086413861294080,csmith1222,1,Mississippi River,7,4,1638.28,1597.06
2021,652822152327815168,NCAA HISTORICALLY BLACK,5,519656908428791808,tpearson2222,2,Hurricane,4,7,1178.98,1295.98
2021,652822152327815168,NCAA HISTORICALLY BLACK,6,692168840821411840,DeanFalcon,2,Hurricane,7,4,1483.86,1480.78
2021,652822152327815168,NCAA HISTORICALLY BLACK,7,519728067978186752,StrikerS091,1,Mississippi River,5,6,1354.44,1388.7
2021,652822152327815168,NCAA HISTORICALLY BLACK,8,467835045181124608,wblack2012,1,Mississippi River,6,5,1346.36,1429.58
2021,652822152327815168,NCAA HISTORICALLY BLACK,9,631893934183882752,aaronlaw,2,Hurricane,7,4,1600.9,1477.16
2021,652822152327815168,NCAA HISTORICALLY BLACK,10,694233255825719296,bb7661KING,2,Hurricane,8,3,1691.8,1457.28
2021,652822152327815168,NCAA HISTORICALLY BLACK,11,327614483000217600,Jerryb83,1,Mississippi River,4,7,1336.94,1440.38
2021,652822152327815168,NCAA HISTORICALLY BLACK,12,460518714907815936,linkoftime1,1,Mississippi River,8,3,1553.38,1373.34
2021,652821876346810368,NCAA BIG 10,1,340600026956906496,CanadaGoose0505,1,EAST,5,6,1662.96,1455.96
2021,652821876346810368,NCAA BIG 10,2,438178170542223360,EthanH,2,WEST,6,5,1486.16,1363.1
2021,652821876346810368,NCAA BIG 10,3,456550391375458304,Clamonte,2,WEST,5,6,1418.3,1347.96
2021,652821876346810368,NCAA BIG 10,4,519389380047458304,URTOASTS,1,EAST,4,7,1321.46,1491.14
2021,652821876346810368,NCAA BIG 10,5,459190461706268672,jreilly,1,EAST,10,1,1628.58,1463.26
2021,652821876346810368,NCAA BIG 10,6,460511267564548096,laxbro000,2,WEST,9,2,1720.3,1419.74
2021,652821876346810368,NCAA BIG 10,7,460518714907815936,linkoftime1,2,WEST,7,4,1557.7,1583.12
2021,652821876346810368,NCAA BIG 10,8,519694666546008064,eseromo760,1,EAST,6,5,1407.98,1356.56
2021,652821876346810368,NCAA BIG 10,9,559208653427675136,DavidAshley,1,EAST,4,7,1352.8,1450.28
2021,652821876346810368,NCAA BIG 10,10,459225788735025152,richardson98,2,WEST,2,9,1197.44,1551.42
2021,652821876346810368,NCAA BIG 10,11,388919621245210624,SpinachAssasin,2,WEST,8,3,1797.42,1380.82
2021,652821876346810368,NCAA BIG 10,12,443870183853912064,chrispychicken,1,EAST,0,11,820.48,1508.22
2021,644097339790827520,NCAA OHIO VALLEY,1,571753677428977664,Mistafyer,2,Southern,3,8,1369.88,1509.84
