Year,LeagueID,LeagueName,Week,TransactionID,Type,RosterIDs,OwnerIDs,Picks,Adds,Drops,Status,Created
2021,652823294856224768,NCAA PAC 12,1,736235842422587392,free_agent,[5],['619963570297352192'],[],{'7588': 5},,complete,1629894812735
2021,652823294856224768,NCAA PAC 12,1,736235740710744064,free_agent,[5],['619963570297352192'],[],{'7571': 5},,complete,1629894788485
2021,652823294856224768,NCAA PAC 12,1,736235634808725504,free_agent,[5],['619963570297352192'],[],{'7562': 5},,complete,1629894763236
2021,652823294856224768,NCAA PAC 12,1,736035363897872384,free_agent,[7],['597246797479469056'],[],{'4995': 7},,complete,1629847014930
2021,652823294856224768,NCAA PAC 12,1,736034603537707008,free_agent,[7],['597246797479469056'],[],{'5154': 7},,complete,1629846833646
2021,652823294856224768,NCAA PAC 12,1,735984544460722176,trade,"[3, 10]","['470320542868566016', '534619662650601472']","[{'round': 1, 'season': '2023', 'league_id': None, 'roster_id': 10, 'owner_id': 3, 'previous_owner_id': 10}]","{'5110': 3, '5916': 3, '6955': 10}","{'5110': 10, '5916': 10, '6955': 3}",complete,1629834898632
2021,652823294856224768,NCAA PAC 12,1,735522277449392128,free_agent,[11],['76460245878456320'],[],{'7612': 11},{'232': 11},complete,1629724685588
2021,652823294856224768,NCAA PAC 12,1,735367424869777408,free_agent,[1],['437465313911500800'],[],{'4208': 1},,complete,1629687765856
2021,652823294856224768,NCAA PAC 12,1,735367270263586816,free_agent,[1],['437465313911500800'],[],{'7554': 1},,complete,1629687728995
2021,652823294856224768,NCAA PAC 12,1,735367204698226688,free_agent,[1],['437465313911500800'],[],{'7569': 1},"{'4992': 1, '5004': 1, '5130': 1}",complete,1629687713363
2021,652823294856224768,NCAA PAC 12,1,735281159654768640,free_agent,[8],['449317906098941952'],[],{'7533': 8},{'223': 8},complete,1629667198626
2021,652823294856224768,NCAA PAC 12,1,735281058366533632,free_agent,[8],['449317906098941952'],[],{'7609': 8},{'559': 8},complete,1629667174477
