LeagueYear,league_id,weekNum,roster_id,lookupID,starter,starter_points,array_index,label
2021,6.44097e+17,17,1,6.44097e+18,7922,2.0,10,"Riley Patterson, K (MIA)"
2021,6.44097e+17,17,1,6.44097e+18,BAL,15.0,11,"Baltimore Ravens, DEF (BAL)"
2021,6.44097e+17,18,1,6.44097e+18,3294,31.8,1,"Dak Prescott, QB (DAL)"
2021,6.44097e+17,18,1,6.44097e+18,4199,0.0,2,"Aaron Jones, RB (MIN)"
2021,6.44097e+17,18,1,6.44097e+18,6955,0.0,3,
2021,6.44097e+17,18,1,6.44097e+18,5955,16.9,4,"Hunter Renfrow, WR (CAR)"
2021,6.44097e+17,18,1,6.44097e+18,1352,0.0,5,
2021,6.44097e+17,18,1,6.44097e+18,1144,6.1,6,
2021,6.44097e+17,18,1,6.44097e+18,5001,17.1,7,"Dalton Schultz, TE (HOU)"
2021,6.44097e+17,18,1,6.44097e+18,2374,27.0,8,"Tyler Lockett, WR (TEN)"
2021,6.44097e+17,18,1,6.44097e+18,2168,4.7,9,
2021,6.44097e+17,18,1,6.44097e+18,7922,13.0,10,"Riley Patterson, K (MIA)"
2021,6.44097e+17,18,1,6.44097e+18,BAL,4.0,11,"Baltimore Ravens, DEF (BAL)"
2021,6.44097e+17,2,1,6.44097e+18,3294,7.48,1,"Dak Prescott, QB (DAL)"
2021,6.44097e+17,2,1,6.44097e+18,4199,41.5,2,"Aaron Jones, RB (MIN)"
2021,6.44097e+17,2,1,6.44097e+18,6955,9.4,3,
2021,6.44097e+17,2,1,6.44097e+18,1992,10.4,4,
2021,6.44097e+17,2,1,6.44097e+18,5859,7.3,5,"A.J. Brown, WR (PHI)"
2021,6.44097e+17,2,1,6.44097e+18,1352,12.0,6,
2021,6.44097e+17,2,1,6.44097e+18,4144,6.8,7,"Jonnu Smith, TE (PIT)"
2021,6.44097e+17,2,1,6.44097e+18,2374,31.8,8,"Tyler Lockett, WR (TEN)"
2021,6.44097e+17,2,1,6.44097e+18,7526,7.8,9,"Jaylen Waddle, WR (MIA)"
2021,6.44097e+17,2,1,6.44097e+18,5119,0.0,10,"Jason Sanders, K (MIA)"
2021,6.44097e+17,2,1,6.44097e+18,BAL,4.0,11,"Baltimore Ravens, DEF (BAL)"
2021,6.44097e+17,3,1,6.44097e+18,3294,18.12,1,"Dak Prescott, QB (DAL)"
2021,6.44097e+17,3,1,6.44097e+18,4199,16.6,2,"Aaron Jones, RB (MIN)"
2021,6.44097e+17,3,1,6.44097e+18,6955,24.4,3,
2021,6.44097e+17,3,1,6.44097e+18,1992,4.7,4,
2021,6.44097e+17,3,1,6.44097e+18,5859,0.3,5,"A.J. Brown, WR (PHI)"
2021,6.44097e+17,3,1,6.44097e+18,1352,6.8,6,
2021,6.44097e+17,3,1,6.44097e+18,4144,1.4,7,"Jonnu Smith, TE (PIT)"
2021,6.44097e+17,3,1,6.44097e+18,2374,7.1,8,"Tyler Lockett, WR (TEN)"
2021,6.44097e+17,3,1,6.44097e+18,7526,16.8,9,"Jaylen Waddle, WR (MIA)"
2021,6.44097e+17,3,1,6.44097e+18,5119,10.0,10,"Jason Sanders, K (MIA)"
2021,6.44097e+17,3,1,6.44097e+18,BAL,3.0,11,"Baltimore Ravens, DEF (BAL)"
2021,6.44097e+17,4,1,6.44097e+18,3294,27.02,1,"Dak Prescott, QB (DAL)"
2021,6.44097e+17,4,1,6.44097e+18,4199,9.9,2,"Aaron Jones, RB (MIN)"
2021,6.44097e+17,4,1,6.44097e+18,6955,20.6,3,
2021,6.44097e+17,4,1,6.44097e+18,1992,9.3,4,
2021,6.44097e+17,4,1,6.44097e+18,1352,14.8,5,
2021,6.44097e+17,4,1,6.44097e+18,2374,6.4,6,"Tyler Lockett, WR (TEN)"
2021,6.44097e+17,4,1,6.44097e+18,5001,17.8,7,"Dalton Schultz, TE (HOU)"
2021,6.44097e+17,4,1,6.44097e+18,1144,3.6,8,
2021,6.44097e+17,4,1,6.44097e+18,7526,6.3,9,"Jaylen Waddle, WR (MIA)"
2021,6.44097e+17,4,1,6.44097e+18,5119,5.0,10,"Jason Sanders, K (MIA)"
2021,6.44097e+17,4,1,6.44097e+18,BAL,11.0,11,"Baltimore Ravens, DEF (BAL)"
2021,6.44097e+17,5,1,6.44097e+18,3294,20.68,1,"Dak Prescott, QB (DAL)"
2021,6.44097e+17,5,1,6.44097e+18,4199,14.9,2,"Aaron Jones, RB (MIN)"
2021,6.44097e+17,5,1,6.44097e+18,6955,21.7,3,
2021,6.44097e+17,5,1,6.44097e+18,1992,7.2,4,
2021,6.44097e+17,5,1,6.44097e+18,1352,27.0,5,
2021,6.44097e+17,5,1,6.44097e+18,2374,10.7,6,"Tyler Lockett, WR (TEN)"
